SHOE_NAME,Brand,Closure,Collaboration,Designed By,Embellishment,Inspired From,Lace Type,MSRP (USD),Origin,Print,Release Date,Season,Style,Top,Weight (oz)
DC Maswell,DC,{},,,,Skate,{},75.00,,{},2019,{},{},Low,
Under Armour HOVR Summit,Under Armour,{Laces},,,,Running,{},130.00,,{},2020,"{Spring, Summer, Fall}",{},Low,11.2
Nike SFB Field 2 8”,Nike,{Laces},,,,,{},170.00,,{},2022,"{Spring, Summer, Fall}",{Sneakerboots},High,19.8
Adidas Karlie Kloss X9000,Adidas,{Laces},Karlie Kloss,,,Running,{},140.00,,{},,"{Spring, Summer, Fall}","{Sporty, Chunky}",Low,
Nike Air Max 1 Treeline,Nike,{Laces},,Tinker Hatfield,,Running,{Flat Lace},150.00,Asian,{},,"{Spring, Summer, Fall}","{Classic, Dressy}",Low,
Adidas Yeezy QNTM,Adidas,{Laces},Kanye West,,,Casual,{},250.00,,{},2020,"{Spring, Summer}",{},Mid,
Adidas NMD_R1 v2,Adidas,"{Laces, Slip-On}",,,,Running,"{No Lace, Flat Lace}",130.00,,{},2020,"{Spring, Summer}",{Sporty},Low,
Adidas Daily 3.0,Adidas,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",65.00,,{},2021,{Summer},"{Sporty, Minimalist}",Low,
Veja Condor,Veja,{Laces},,,,Running,{Round Lace},135.00,,{},2022,"{Spring, Summer}","{Sporty, Minimalist}",Low,
Nike CruzrOne,Nike,"{Laces, Slip-On}",,Tinker Hatfield,,Running,"{Synthetic Lace, No Lace, Flat Lace}",150.00,,{},2020,"{Spring, Summer}",{Sporty},Low,10.1
Tretorn Nylite Canvas,Tretorn,{},,,,Tennis,{},65.00,,{},,{},{},Low,
Nike Air Presto Fly,Nike,"{Laces, Slip-On}",,Tobie Hatfield,,Running,"{Cotton Lace, Round Lace, No Lace}",100.00,,{},,"{Spring, Summer}","{Retro, Sporty, Minimalist}",Low,
Adidas Nebzed Super Boost,Adidas,{Laces},,,,Running,{},90.00,,{},2022,"{Spring, Summer}","{Classic, Sporty}",Low,
Sperry Cutter CVO,Sperry,{Laces},,,,Casual,{Round Lace},60.00,,{},2023,"{Spring, Summer}",{Minimalist},Low,
PUMA Basket Classic LFS,PUMA,{},,,,Basketball,{},70.00,,{},,{},{},Low,
DC Anvil TX,DC,{},,,,Skate,{},60.00,,{},,{},{},Low,
Vans Yacht Club Old Skool,Vans,{Laces},,,,Skate,{Round Lace},60.00,,{},2019,"{Spring, Summer}","{Retro, Sporty}",Low,
Nike Air Max VG-R,Nike,{Laces},,,,Running,"{Cotton Lace, Round Lace}",90.00,Asian,{},2021,"{Spring, Summer}","{Sporty, Chunky}",Low,11.5
Nike Air VaporMax 2019,Nike,{Laces},,,,Running,"{Cotton Lace, Round Lace}",119.00,,{},2019,"{Spring, Summer}","{Sporty, Futuristic, Chunky}",Low,
Sperry Sea Kite Sport Moc,Sperry,{Laces},,,,Boat,{Round Lace},110.00,,{},,"{Spring, Summer}",{Dad},Low,
Adidas NMD_V3,Adidas,{Laces},,,,Casual,{},160.00,,{},2022,"{Spring, Fall}",{Sporty},Low,
Nike SB Blazer Zoom Low,Nike,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",75.00,,{},,"{Spring, Summer}","{Sporty, Minimalist}",Low,
ECCO Soft 7 High Top,ECCO,{},,,,Casual,{},170.00,,{},,{},{},High,
Adidas Nizza RF Slip,Adidas,{Slip-On},,,,Casual,{No Lace},70.00,,{},2023,"{Spring, Summer, Fall}","{Retro, Sporty, Minimalist}",Low,
Sperry Striper II CVO Nautical,Sperry,{Laces},,,,Casual,{},60.00,,{},,{Summer},{},Low,
Adidas Superstar Parley,Adidas,{Laces},Parley For the Oceans,,,Casual,{},120.00,,{},2022,"{Spring, Summer, Fall}","{Retro, Classic, Minimalist}",Low,
Jordan Eclipse,Jordan,{Laces},,,,Basketball,"{Round Lace, Synthetic Lace}",110.00,,{},,"{Spring, Summer}","{Sporty, Minimalist}",Low,
Nike Waffle Trainer 2 SE,Nike,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",100.00,Asian,{},2022,{Summer},"{Retro, Sporty}",Low,
Converse Chuck Taylor All Star Core Ox,Converse,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",55.00,Asian,{},,{Summer},"{Retro, Sporty, Minimalist}",Low,
Air Jordan 12 Retro Low,Jordan,{Laces},,,,Basketball,{Round Lace},170.00,,{},,"{Spring, Summer}",{Sporty},Mid,
PUMA Basket Classic,PUMA,{},,,,Basketball,{},70.00,,{},,{},{},Low,
ASICS Gel Kayano Trainer Knit,ASICS,{Laces},,Toshikazu Kayano,,Running,{},150.00,,{},,"{Spring, Summer}",{Retro},Low,
Adidas NMD_R1 Primeknit,Adidas,"{Laces, Slip-On}",,Nic Galway,,Running,"{Round Lace, No Lace}",170.00,,{},,"{Spring, Summer}","{Sporty, Sock}",Low,
PUMA Slipstream Lo Retro,PUMA,{Laces},,,,Basketball,"{Synthetic Lace, Flat Lace}",85.00,,{},2023,"{Spring, Summer, Fall}","{Retro, Sporty, Minimalist}",Low,
TOMS TRVL LITE Low,TOMS,{},,,,Casual,{},80.00,,{},2019,{},{},Low,
Onitsuka Tiger California 78 EX,Onitsuka Tiger,{Laces},,,,Running,{},90.00,,{},,{},{Retro},Low,
Fred Perry Kingston Leather,Fred Perry,{Laces},,,,Tennis,{},105.00,,{},2019,{},{},Low,12.0
Vans Classic Tumble Old Skool,Vans,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",65.00,,{},,"{Spring, Fall}","{Retro, Sporty, Minimalist}",Low,
PUMA RS-X Bold,PUMA,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",110.00,,{},2020,"{Spring, Summer}","{Retro, Sporty, Chunky}",Low,
Adidas Berlin,Adidas,{Laces},,,,Training,"{Cotton Lace, Flat Lace}",100.00,,{},,"{Spring, Summer, Fall}","{Classic, Sporty, Minimalist}",Low,
Vans SK8-Hi Reissue Cap,Vans,"{Zipper, Laces}",,,,Skate,"{No Lace, Flat Lace}",95.00,,{},2020,"{Spring, Summer, Fall}","{Retro, Sporty, Deconstructed}",High,
Balenciaga Speed 3.0,Balenciaga,{Slip-On},,,,Running,{No Lace},995.00,Italian,{},2023,"{Spring, Summer}","{Sporty, Minimalist, Sock}",High,
Sorel Kinetic Rush Mid,Sorel,{Laces},,,,Hiking,{Round Lace},160.00,,{},2022,"{Fall, Winter}","{Dad, Sporty}",Mid,
ECCO Biom Fjuel,ECCO,{Laces},,,,Running,{Flat Lace},200.00,,{},2023,"{Spring, Summer}",{Sporty},Low,16.0
Merrell Nova Moc,Merrell,{Slip-On},,,,Hiking,{No Lace},100.00,,{},,"{Fall, Winter}",{Sporty},Low,9.9
PRO-Keds Royal Plus Suede,PRO-Keds,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",85.00,,{},,"{Spring, Summer, Fall}",{Minimalist},Low,
ASICS Gel Lyte V Sanze,ASICS,{},,,,Running,{},140.00,,{},,{},{},Low,
Adidas Yeezy 350 Boost v2 Zebra,Adidas,"{Laces, Slip-On}",Kanye West,,,Casual,"{Round Lace, No Lace}",220.00,,"{Zebra, Animal}",,"{Spring, Summer}","{Sporty, Minimalist}",Low,
Nike Air Max Pre-Day Be True,Nike,{Laces},,,,Running,{Flat Lace},130.00,Asian,{},,"{Spring, Summer}",{Sporty},Low,
Nike SB Nyjah Free,Nike,{Laces},Nyjah Huston,,,Skate,{Flat Lace},95.00,,{},,"{Spring, Summer}","{Sporty, Minimalist}",Low,
Reebok Maison Margiela Club C,Reebok,{},Maison Margiela,,,Tennis,{},300.00,Asian,{},,"{Spring, Summer, Fall}","{Sporty, Minimalist}",Low,
K-Swiss Classic LX,K-Swiss,{},,,,Tennis,{},60.00,,{},,{},{},Low,
Nike x Sacai Blazer Low,Nike,{Laces},Sacai,Chitose Abe,,Basketball,{Flat Lace},120.00,,{},2022,"{Spring, Summer}","{Classic, Sporty, Deconstructed}",Low,
Timberland Killington Oxford,Timberland,{},,,,Casual,{},100.00,,{},,{},{},Low,
Adidas X9000L1,Adidas,{Laces},,,,Running,{},80.00,,{},,"{Spring, Summer, Fall}","{Sporty, Minimalist}",Low,
New Balance Numeric 1010,New Balance,{Laces},,,,Skate,"{Cotton Lace, Round Lace}",110.00,,{},2020,"{Spring, Fall}","{Retro, Sporty}",Low,
New Balance 1906D,New Balance,{Laces},,,,Running,{},165.00,,{},2023,"{Spring, Summer}",{Sporty},Low,
PUMA Thunder Spectra,PUMA,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",120.00,,{},,"{Spring, Summer}","{Retro, Dad, Chunky}",Low,
Adidas Samba Super Suede,Adidas,{Laces},,,,Football,"{Cotton Lace, Flat Lace}",90.00,,{},,"{Spring, Summer}","{Retro, Sporty}",Low,
Adidas EQT Support Mid ADV Primeknit,Adidas,{},,,,Running,{},160.00,,{},,{},{},Mid,
Nike Air Foamposite Pro,Nike,{Laces},,Eric Avar,,Basketball,{Flat Lace},230.00,,{},,"{Spring, Fall}","{Retro, Sporty, Futuristic}",High,
PUMA Clyde Core Foil,PUMA,{Laces},,,,Basketball,{},70.00,,{},,{},{Retro},Low,
Gucci Ace GG Supreme,Gucci,{Laces},,,,Casual,{},680.00,Italian,{},,"{Spring, Summer}","{Retro, Sporty}",Low,
PUMA Roma Classic Gum,PUMA,{Laces},,,,,"{Cotton Lace, Flat Lace}",70.00,,{},2019,"{Spring, Fall}","{Retro, Sporty, Minimalist}",Low,
Skechers Synergy,Skechers,{},,,,,{},70.00,,{},,{},{},,9.0
SeaVees Racquet Club,SeaVees,{Laces},,,,Casual,"{Cotton Lace, Flat Lace}",108.00,,{},,"{Spring, Summer, Fall}",{Minimalist},Low,
Nike Path Winter,Nike,{Laces},,,,Casual,{Round Lace},90.00,,{},2020,"{Fall, Winter}",{Sneakerboots},High,
Adidas ZX 2K Boost Utility Gore-Tex,Adidas,{Zipper},,,,,{No Lace},195.00,,{},2023,"{Spring, Summer, Fall, Winter}","{Sporty, Chunky}",Low,
Adidas EQT Support 93/16,Adidas,{},,,,Running,{},180.00,,{},,{},{},Low,
Nike LD Victory,Nike,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",75.00,,{},2020,"{Spring, Summer}",{Sporty},Low,
PUMA RS 9.8 Space,PUMA,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",100.00,,{},2022,"{Spring, Summer}","{Retro, Futuristic, Chunky}",Low,
New Balance 827,New Balance,{Laces},Aime Leon Dore,,,Running,{Round Lace},150.00,,{},2022,"{Spring, Summer}","{Classic, Sporty}",Low,
Nike Air Max 95 NH,Nike,{Laces},,,,Running,{Round Lace},185.00,,{},,{},"{Dad, Sporty}",Low,
Nike Air Zoom Alpha,Nike,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",150.00,,{},2020,"{Spring, Summer, Fall}","{Retro, Sporty}",Low,
Adidas X_PLR S,Adidas,{Laces},,,,Running,{Round Lace},85.00,,{},2020,"{Spring, Summer}","{Sporty, Minimalist}",Low,
Nike Air Max 98 Supreme,Nike,{Laces},Supreme,Sergio Lozano,,Running,{},175.00,,{},2020,"{Spring, Summer}","{Retro, Sporty}",Low,
Adidas U_Path Run,Adidas,{Laces},,,,Running,{},85.00,,{},2019,"{Spring, Summer}",{},Low,
Onitsuka Tiger Corsair EX,Onitsuka Tiger,{Laces},,,,Running,{},140.00,,{},2020,"{Spring, Summer}",{Retro},Low,
Sorel Kinetic Breakthru Day Lace,Sorel,{Laces},,,,Casual,{},125.00,,{},2022,"{Spring, Summer}","{Classic, Sporty}",Low,9.0
Nike Air Penny II,Nike,{Laces},,Eric Avar,,Basketball,{},150.00,,{},,{},{Classic},Mid,
Nike Air Max 90 SP,Nike,{Laces},,,,Running,{Flat Lace},180.00,,{},2020,"{Spring, Summer, Fall}","{Retro, Sporty, Chunky}",Low,
Skechers Zinger,Skechers,{Laces},,,,Soccer,{},60.00,,{},2020,{},{},Low,
Jordan Series .03,Jordan,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",80.00,,{},2022,"{Spring, Summer}",{Sporty},Low,
Adidas Japan,Adidas,{Laces},,,,Training,"{Cotton Lace, Flat Lace}",150.00,,{},2020,"{Spring, Summer, Fall}","{Classic, Sporty, Minimalist}",Low,
Emerica Reynolds G6,Emerica,{},,,,Skate,{},85.00,,{},2019,{},{},Low,
Reebok InstaPump Fury OG,Reebok,{Laces},,Steven Smith,,Running,"{Cotton Lace, Flat Lace}",160.00,,{},,"{Spring, Summer, Fall}","{Classic, Sporty, Chunky}",Low,
Converse Chuck Taylor All Star Leather High Top,Converse,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",70.00,Asian,{},,"{Spring, Summer}","{Retro, Sporty, Minimalist}",High,
Nike Roshe Two,Nike,"{Laces, Slip-On}",,Dylan Raasch,,Running,"{Round Lace, Synthetic Lace, No Lace}",90.00,,{},,{Summer},{Sporty},Low,
Nike Air Adjust Force x AMBUSH,Nike,{Laces},AMBUSH,Yoon Ahn,,Basketball,{},210.00,,{},2023,"{Spring, Summer, Fall}","{Retro, Sporty, Futuristic}",Low,
Reebok Royal BB4500 Hi,Reebok,{},,,,Basketball,{},60.00,,{},,{},{},High,
Mizuno Sky Medal,Mizuno,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",90.00,European,{},2020,"{Spring, Summer}",{},Low,
Nike X Patta Air Max 1,Nike,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",160.00,Asian,{},2022,"{Spring, Summer}","{Retro, Sporty}",Low,
Adidas Yeezy 450,Adidas,"{Laces, Slip-On}",Kanye West,Steven Smith,,Casual,"{Round Lace, Synthetic Lace, No Lace}",200.00,German,{},2021,{Summer},"{Sock, Futuristic}",Low,
Reebok Zig Kinetica Horizon,Reebok,{Laces},,,,Running,{Cotton Lace},110.00,Asian,{},2023,"{Spring, Summer}",{Sporty},Low,
Fila V94M,Fila,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",103.00,,{},,"{Fall, Winter}","{Retro, Dad, Chunky}",,
Vivobarefoot Addis,Vivobarefoot,{Slip-On},,,,Casual,"{No Lace, Flat Lace}",110.00,,{},2022,"{Spring, Fall}","{Retro, Minimalist}",Low,
PUMA Ferrari Roma,PUMA,{Laces},Ferrari,,,,"{Cotton Lace, Flat Lace}",75.00,,{},,"{Spring, Fall}","{Retro, Sporty, Minimalist}",Low,
Vans Leather Lowland CC,Vans,{Laces},,,,Skate,{},85.00,,{},2023,"{Spring, Summer, Fall}","{Retro, Sporty, Minimalist}",Low,
Reebok Royal Nylon,Reebok,{},,,,Running,{},55.00,,{},,{},{},Low,
Adidas Yeezy Boost 700 MNVN,Adidas,"{Laces, Slip-On}",,,,Running,"{Cotton Lace, Round Lace, No Lace}",220.00,,{},2022,"{Spring, Summer}","{Sporty, Futuristic, Chunky}",Low,
SeaVees Legend Sneaker Standard,SeaVees,{Laces},,,,Casual,"{Cotton Lace, Flat Lace}",72.00,,{},,{},{Minimalist},Low,
eS Square Three,éS,{Laces},,,,Skate,{},70.00,,{},2019,{},{},Low,
DC Anvil TX SE,DC,{Laces},,,,Skate,{},55.00,,{},,{Summer},{},Low,
Vans Suede Canvas Old Skool V,Vans,{Velcro},,,,Skate,{No Lace},75.00,,{},,"{Spring, Summer, Fall}","{Retro, Sporty}",Low,
Nike Air Max 200 SE,Nike,{Laces},,,,Running,"{Round Lace, Synthetic Lace}",130.00,,{},2020,"{Spring, Summer}","{Retro, Sporty, Chunky}",Low,
Gucci GG sneakers,Gucci,{},,,,Casual,{},920.00,Italian,{},2023,"{Spring, Summer}","{Platform, Dressy, Chunky}",Low,
Nike Dunk Low SE 85,Nike,{Laces},,,,Basketball,{},120.00,,{},2023,"{Spring, Summer, Fall}","{Retro, Classic, Sporty}",Low,
Adidas Superturf Adventure Sean Wotherspoon,Adidas,"{Zipper, Laces}",Sean Wotherspoon,,,Hiking,{No Lace},160.00,Asian,{},2022,{},"{Sporty, Futuristic}",,
Osiris Relic,Osiris,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",48.00,,{},2019,"{Spring, Summer, Fall}","{Sporty, Minimalist}",Low,
PUMA RS-X Hard Drive,PUMA,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",110.00,,{},2020,"{Spring, Summer}","{Retro, Sporty, Chunky}",Low,
Adidas Yeezy 350 V2 CMPCT,Adidas,"{Laces, Slip-On}",,,,Casual,"{Round Lace, No Lace}",220.00,Asian,{},2022,"{Spring, Summer}","{Sporty, Sock}",Low,
Adidas Rivalry High,Adidas,{Laces},,,,Basketball,"{Synthetic Lace, Flat Lace}",110.00,,{},2019,"{Spring, Fall}","{Retro, Sporty}",High,
New Balance Rainier Aime Leon Dore,New Balance,{Laces},Aime Leon Dore,,,Hiking,{Flat Lace},200.00,Asian,{},2023,"{Spring, Summer, Fall, Winter}",{Sneakerboots},Mid,
ASICS Gel Kayano Trainer EVO,ASICS,{Laces},,Toshikazu Kayano,,Running,"{Cotton Lace, Flat Lace}",100.00,,{},,{Summer},"{Retro, Sporty}",Low,
DC Trase SD,DC,{Laces},,,,Skate,{},60.00,,{},,{},{},Low,
Reebok DMX Series 2200,Reebok,{Laces},,Christian Tresser,,Running,"{Cotton Lace, Flat Lace}",90.00,,{},2020,"{Spring, Summer, Fall}","{Retro, Sporty, Chunky}",Low,
Nike Air Force 1 High 07 LV8 1,Nike,"{Velcro, Laces}",,,,Basketball,"{No Lace, Flat Lace}",110.00,,{},2019,"{Spring, Fall}","{Retro, Sporty}",High,
K-Swiss Aeronaut,K-Swiss,{},,,,Tennis,{},60.00,,{},,{},{},Low,
Nike Air Sockracer Flyknit,Nike,{Slip-On},,Tinker Hatfield,,Running,{No Lace},130.00,,{},2020,"{Spring, Summer}","{Retro, Sock}",Low,
Supra Noiz,Supra,{Laces},,,,Running,{},80.00,,{},,{},{},Low,
PUMA Tsugi Netfit v2,PUMA,"{Laces, Slip-On}",,,,Training,{No Lace},110.00,,{},2020,{Summer},{},Low,
K-Swiss Court Pro II CMF,K-Swiss,{},,,,Tennis,{},55.00,,{},,{},{},Low,
Vans SK8-Hi Slim,Vans,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",65.00,,{},,"{Spring, Summer, Fall}","{Retro, Sporty}",High,
Converse Chuck Taylor All Star Leather Low Top,Converse,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",65.00,Asian,{},,"{Spring, Fall}","{Retro, Sporty, Minimalist}",Low,
Nike Air Force 1 07 Craft,Nike,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",120.00,Asian,{},2020,"{Spring, Summer, Fall}","{Retro, Sporty, Minimalist}",Low,
Etnies Score,Etnies,{Laces},,,,Skate,{},72.00,,{},2020,{},{Minimalist},Low,
Adidas Pharrell Williams Superstar,Adidas,{Laces},,Pharrell Williams,,Basketball,{Flat Lace},133.00,Asian,{},2023,"{Spring, Summer}","{Retro, Sporty, Minimalist}",Low,
DC E. Tribeka SE,DC,{},,,,Skate,{},95.00,,{},,{},{},Low,
Nike Zoom Freak 3 NRG,Nike,{Laces},,,,Basketball,{Flat Lace},120.00,Asian,{},2023,"{Spring, Summer}","{Sporty, Futuristic}",Low,
Nike Signal D/MS/X,Nike,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",130.00,Asian,{},2020,"{Summer, Fall}","{Sporty, Futuristic}",Low,
Keds Chillax,Keds,{Slip-On},,,,Casual,{No Lace},55.00,,"{Floral, Striped, Rainbow}",,"{Spring, Summer, Fall}",{Minimalist},Low,
Reebok Club C 85 MU,Reebok,{},,,,Tennis,{},75.00,,{},,{},{},Low,
Cole Haan Grand Crosscourt Premier,Cole Haan,{Laces},,,,Tennis,{Flat Lace},160.00,,{},2023,"{Spring, Summer, Fall}","{Sporty, Minimalist}",Low,
PUMA Cell Endura Rebound,PUMA,{Laces},,,,Running,{},130.00,,{},2020,"{Spring, Summer}",{Retro},Low,
Tretorn NylitePlus,Tretorn,{Laces},,,,Tennis,"{Cotton Lace, Flat Lace}",75.00,,{},,"{Spring, Summer}","{Sporty, Minimalist}",Low,
Nike N110 D/MS/X,Nike,{Laces},,,,Running,{},160.00,,{},2022,"{Spring, Summer}","{Sporty, Sock, Futuristic}",Low,
Adidas USA 84,Adidas,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",70.00,,{},2020,"{Spring, Summer}","{Retro, Sporty}",Low,
Converse Chuck Taylor All Star Street Mid,Converse,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",60.00,Asian,{},2020,"{Spring, Summer}","{Retro, Sporty, Deconstructed}",Mid,
Vans OG SK8-Hi LX,Vans,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",110.00,,{},2020,"{Spring, Summer, Fall}","{Retro, Sporty}",High,
Vans Vintage Old Skool,Vans,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",55.00,,{},,"{Spring, Summer}","{Retro, Sporty, Minimalist}",Low,
Ariat Fuse,Ariat,{Laces},,,,Hiking,"{Synthetic Lace, Flat Lace}",90.00,,{},2021,"{Spring, Summer}",{Sporty},Low,
Adidas Stan Smith H,Adidas,{Laces},,,,Tennis,{Cotton Lace},150.00,Asian,"{Leopard, Animal}",2022,"{Spring, Summer, Fall}","{Sporty, Minimalist}",Low,
Etnies Macallan,Etnies,{Laces},,,,Skate,{},80.00,,{},2019,{},{},Mid,
Nike Air Max 200 20,Nike,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",130.00,,{},2020,"{Spring, Summer}","{Retro, Sporty, Chunky}",Low,
Nike SB Nyjah Free 2 Premium,Nike,{},,,,Skate,{Round Lace},95.00,Asian,{},2023,"{Spring, Summer}",{Sporty},Low,
Native Apollo Moc,Native,{},,,,Casual,{},75.00,,{},,{},{},Low,
Etnies Vanguard,Etnies,{Laces},,,,Casual,{},70.00,,{},2020,"{Spring, Summer}",{},Low,
Nike Off-Line,Nike,"{Velcro, Slip-On}",,,,,{No Lace},120.00,,{},2020,"{Spring, Summer}",{Mule},Low,
Adidas NMD_R2 Primeknit,Adidas,"{Laces, Slip-On}",,Nic Galway,,Running,"{No Lace, Flat Lace}",170.00,,{},,"{Spring, Summer}","{Sporty, Sock}",Low,
Skechers Premiums,Skechers,{Laces},,,,Casual,{Cotton Lace},65.00,,{},2020,"{Spring, Summer}","{Sporty, Chunky}",Low,
Balenciaga Track Trainers,Balenciaga,{Laces},,,,Running,"{Cotton Lace, Flat Lace}",975.00,Asian,{},2019,"{Spring, Summer}","{Sporty, Futuristic, Deconstructed}",Low,
Adidas Stan Smith Primeblue,Adidas,{Laces},,,,Tennis,{Cotton Lace},90.00,Asian,{},2022,{Summer},{Minimalist},Low,
Nike Air Max 90 Off-White,Nike,{Laces},Off-White,Virgil Abloh,,Running,"{Cotton Lace, Flat Lace}",160.00,,{},2020,"{Spring, Summer, Fall}","{Retro, Dad, Sporty, Chunky, Deconstructed}",Low,
Nike x NOCTA Hot Step Air Terra,Nike,{Laces},Drake,,,Hiking,{Round Lace},180.00,Asian,{},2022,"{Spring, Fall}","{Sporty, Chunky}",Low,
Nike Roshe LD 1000,Nike,{},,,,Running,{},100.00,,{},,{},{},Low,
PUMA TSUGI Shinsei,PUMA,"{Velcro, Laces}",,,,Running,{No Lace},100.00,,{},,"{Spring, Summer}","{Sporty, Futuristic}",Low,
Lakai Riley Hawk 2,Lakai,"{Laces, Slip-On}",,,,Skate,{No Lace},72.00,,{},2019,{},{},Low,
eS Aura Vulc,éS,{Laces},,,,Skate,{},65.00,,{},2019,{},{},Low,
Lacoste Bayliss Sneaker,Lacoste,{Laces},,,,,"{Cotton Lace, Flat Lace}",90.00,,{},,"{Spring, Summer, Fall}",{Minimalist},Low,
Etnies Cyprus SC,Etnies,{Laces},,,,Skate,{},90.00,,{},2019,{Summer},{},Low,16.0
ECCO Soft 8 Tie,ECCO,{Laces},,,,Casual,{},170.00,,{},,{},{},Low,
Reebok Split Fuel,Reebok,{Laces},,,,Running,{Round Lace},80.00,,{},2019,"{Spring, Summer}",{Sporty},Low,
Fila Luminance,Fila,{Laces},,,,Running,{},70.00,,{},2019,{},{},Low,
Adidas Run 60s 2.0,Adidas,{Laces},,,,Running,{Flat Lace},70.00,,{},2023,"{Spring, Summer}",{Sporty},Low,
Adidas Yeezy 450 Sulfur,Adidas,{Laces},Kanye West,,,Casual,{},200.00,,{},2022,"{Spring, Summer}","{Minimalist, Sock, Futuristic}",,
Merrell Range AC+,Merrell,{},,,,Casual,{},120.00,,{},2019,{},{},Low,
Converse Chuck Taylor All Star CX High Top,Converse,{Laces},,,,Basketball,{Flat Lace},75.00,Asian,{},2021,{Summer},"{Retro, Sporty}",High,
Vans Suede SK8-Hi,Vans,{Laces},,,,Skate,"{Cotton Lace, Flat Lace}",65.00,,{},,"{Spring, Fall}","{Retro, Sporty}",High,
New Balance 247 Classic,New Balance,"{Laces, Slip-On}",,,,Casual,"{Synthetic Lace, No Lace, Flat Lace}",80.00,,{},,"{Spring, Summer}","{Sporty, Minimalist}",Low,
Saucony Progrid Triumph 4,Saucony,{Laces},,,,Running,"{Synthetic Lace, Flat Lace}",150.00,,{},2023,"{Spring, Summer}","{Classic, Dad, Sporty}",Low,
Champion Life Rally Pro,Champion,{Slip-On},,,,Basketball,{No Lace},100.00,,{},2019,{Summer},"{Minimalist, Sock}",High,
ECCO Street Tray,ECCO,{Laces},,,,,{Flat Lace},180.00,,{},2022,"{Spring, Summer}",{Minimalist},Low,
Reebok Royal Dashonic 2,Reebok,{Laces},,,,Running,{Cotton Lace},65.00,Asian,{},2022,"{Spring, Summer}","{Dad, Sporty}",Low,
New Balance Caravan Moc,New Balance,"{Laces, Slip-On}",,,,Casual,"{Round Lace, No Lace}",60.00,,{},2022,"{Fall, Winter}",{Minimalist},Low,
ASICS Gel Kyrios,ASICS,{Laces},,,,Running,"{Synthetic Lace, Flat Lace}",150.00,,{},2021,"{Spring, Summer}","{Retro, Sporty}",Low,
Converse Jack Purcell Canvas,Converse,{Laces},,,,,{},65.00,,{},2020,"{Spring, Summer}",{Classic},Low,
Sperry Bahama II Baja,Sperry,{},,,,,{},60.00,,{},2019,{},{},Low,
Nike Dunk High EMB,Nike,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",120.00,Asian,{},2022,"{Spring, Summer}","{Retro, Sporty}",High,
Converse Chuck Taylor All Star Leather Ox,Converse,{Laces},,,,Basketball,"{Cotton Lace, Flat Lace}",60.00,Asian,{},,"{Spring, Summer}","{Retro, Sporty, Minimalist}",Low,
Nike Air Huarache LE,Nike,{Laces},,Tinker Hatfield,,Running,"{Cotton Lace, Flat Lace}",120.00,Asian,{},2022,{Fall},"{Retro, Sporty, Chunky}",Mid,
Nike EXP-X14,Nike,{Laces},,,,Running,{Round Lace},120.00,,{},,"{Spring, Summer}","{Sporty, Futuristic}",Low,
ASICS HyperGel Lyte,ASICS,{Laces},,,,Running,{},120.00,,{},2019,{},{},Low,9.9
Skechers Relaxed Fit Melson - Chad,Skechers,"{Laces, Slip-On}",,,,Casual,"{No Lace, Flat Lace}",58.00,,{},2022,"{Spring, Summer}",{Minimalist},Low,19.0
Timberland Supaway,Timberland,{Laces},,,,Hiking,{Round Lace},100.00,,{},2023,"{Spring, Summer}",{},Low,
Adidas ZX Wavian,Adidas,{Laces},,,,Running,{Flat Lace},120.00,,{},2023,"{Spring, Summer}","{Dad, Sporty, Chunky}",Low,
Adidas Pharrell Williams Stan Smith,Adidas,{Laces},Pharrell Williams,,,Tennis,{Flat Lace},110.00,,{},2020,"{Spring, Summer}","{Retro, Sporty, Minimalist}",Low,
